,data_points_count,price_close,sma_status,sma_20,sma_20_ratio,sma_20_slope,sma_20_slope_status,sma_50,sma_50_ratio,sma_50_slope,sma_50_slope_status,sma_200,sma_200_ratio,rsi_7,rsi_7_scale,rsi_13,rsi_13_scale,bb_lband,bb_hband,bb_width,bb_width_pct,to_ccy,high_pct,low_pct,high_low_ratio,btc_rsq,eth_rsq,close_time,exch_volume
APPCBTC,200.0,0.0000030900000000000000613419905148848698672736645676195621490478515625,1.0,0.000003069999999999996017664705139083025642321445047855377197265625,1.006514657980457351668025337,5e-10,1.0,0.000003104999999999999917726402343109981529778451658785343170166015625,0.9951690821256039108593015067,-2e-09,-1.0,0.0000030184500000000007209773576766220770650761551223695278167724609375,1.023704219052824901281925366,56.5491009115,3.0,52.9333823722,3.0,3.0417e-06,3.0983e-06,1.842623534,0.8535533906,BTC,0.9449541284403669819828066914,1.140221402214022209999173907,1.206642066420664268346376926,0.6801434554,0.7467026226,"09/30/2020, 23:59:59",17739.0
ARDRBTC,200.0,0.0000047299999999999996059640676449031815309353987686336040496826171875,-1.0,0.000004756500000000002655671689499872201167818275280296802520751953125,0.9944286765478812078393743530,-5.5e-09,-1.0,0.0000048366000000000046500918567116134028083251905627548694610595703125,0.9779597237728972952821237929,-5.8e-09,-1.0,0.000004936049999999998251498656287594712921418249607086181640625,0.9582560954609457524693101121,41.0525351408,3.0,40.0101208851,3.0,4.7035e-06,4.8095e-06,2.229322593,0.2500889521,BTC,0.8775510204081631819209547968,1.017204301075268651107887785,1.159139784946236480008946539,-0.2853871999,-0.2205140597,"09/30/2020, 23:59:59",50660.0
ARDRUSDT,200.0,0.050880000000000001614264277804977609775960445404052734375,-1.0,0.051027999999999983093967870217966265045106410980224609375,0.9970996315748220285189050287,-5.45e-05,-1.0,0.0519581999999999821771012875615269877016544342041015625,0.9792487037657197336958312510,-8.02e-05,-1.0,0.052611950000000025362556499430866097100079059600830078125,0.9670806727368967903038392610,46.3473882208,3.0,43.8626486564,3.0,0.0504737221,0.0515822779,2.1724461419,0.3664929653,USDT,0.8409917355371901340192677538,1.038367346938775503152477665,1.234693877551020324353218154,0.2708769241,0.3116741772,"09/30/2020, 23:59:59",9764.6
ARKBTC,200.0,0.00002824999999999999888045283669146812144390423782169818878173828125,-1.0,0.0000280094999999999831412876571956616089664748869836330413818359375,1.008586372480766021668375488,2.2e-08,1.0,0.00002781879999999999528398179904353781921599875204265117645263671875,1.015500309143457074696636005,9.8e-09,1.0,0.0000278268499999999993827805300217193007483729161322116851806640625,1.015206536133266952855176811,56.8462869293,3.0,56.8072782002,3.0,2.75337e-05,2.84853e-05,3.3970687466,0.7527582784,BTC,0.9664728019158398633991206658,1.057656308498689584568165316,1.094346686634219377861003594,0.3180691367,0.4082914004,"09/30/2020, 23:59:59",4140.0
ARPABTC,200.0,0.00000215000000000000016740623644262431213292074971832334995269775390625,1.0,0.00000217799999999999972991721573778445275593185215257108211517333984375,0.9871441689623509798057309753,-4e-09,-1.0,0.0000022344000000000001555401640818132591448375023901462554931640625,0.9622269960615825356880109162,-3.4e-09,-1.0,0.00000220064999999999941988405340043133406879860558547079563140869140625,0.9769840728875562829937866987,40.983521823,3.0,40.6142961059,3.0,2.1252e-06,2.2308e-06,4.8451445209,0.2346656847,BTC,0.8174904942965780704511091279,1.091370558375634493758245717,1.335025380710659667124913270,0.3473206897,0.4024537884,"09/30/2020, 23:59:59",267290.0
ARPAUSDT,200.0,0.0231500000000000004385380947269368334673345088958740234375,1.0,0.0233479999999999902893232928136058035306632518768310546875,0.9915196162412202358602251533,-3.65e-05,-1.0,0.0239721999999999990649257597397081553936004638671875,0.9657019380782740566798667120,-4.6e-05,-1.0,0.023452199999999999435740249964510439895093441009521484375,0.9871142152974987845714651550,42.9825030295,3.0,41.256870293,3.0,0.0228388988,0.0238571012,4.360983114,0.3055396332,USDT,0.8128511235955056798287914016,1.150024838549428815764064987,1.414803775459513182753770825,0.5739257396,0.6091538053,"09/30/2020, 23:59:59",353812.4
ASTBTC,200.0,0.00001249000000000000069476542574609112534744781441986560821533203125,1.0,0.000013150999999999988098061363961388536836238927207887172698974609375,0.9497376625351693406193297524,-8.1e-08,-1.0,0.000012845999999999991865277937375111605433630757033824920654296875,0.9722870932586025692083679342,5e-09,1.0,0.00001169625000000000511805008096555269503369345329701900482177734375,1.067863631505824108529304697,26.1640210587,2.0,36.6514469152,2.0,1.23424e-05,1.39596e-05,12.2975590469,0.0912819994,BTC,0.8249669749009247086865726823,1.274489795918367503045430721,1.544897959183673647543372913,0.7442252947,0.7865535586,"09/30/2020, 23:59:59",187005.0
ATOMBNB,200.0,0.1827000000000000012878587085651815868914127349853515625,1.0,0.188234999999999874642497843524324707686901092529296875,0.9705952665551046455720611407,-0.000495,-1.0,0.182985999999999815468498809423181228339672088623046875,0.9984370388991517686104092166,7e-05,1.0,0.1807735000000000591402482541525387205183506011962890625,1.010656982356373813182539876,38.4841844279,3.0,43.556334581,3.0,0.1801729221,0.1962970779,8.5659711488,0.1567262143,BNB,0.9311926605504586591398245902,1.101265822784810187997321312,1.182640144665461258811730035,0.645903474,0.5843170336,"09/30/2020, 23:59:59",475.47
ATOMBTC,200.0,0.000498199999999999966655839234164204754051752388477325439453125,1.0,0.00050276499999999985264509394511378559400327503681182861328125,0.9909202112318878853396594197,-5.45e-07,-1.0,0.0004820259999999999280494156206344769088900648057460784912109375,1.033554206619560025850614673,8.54e-07,1.0,0.000437334500000000005355549337338061377522535622119903564453125,1.139173790313821481165875997,46.9524252298,3.0,52.1851908417,3.0,0.000491839,0.000513691,4.3463577589,0.2910943077,BTC,0.9623333977206876803666362168,1.341772151898733992404011140,1.394290331268515798796989792,0.7465125997,0.7931575703,"09/30/2020, 23:59:59",17701.54
ATOMUSDT,200.0,5.3719999999999998863131622783839702606201171875,1.0,5.396249999999998436805981327779591083526611328125,0.9955061385221221111850643628,-0.00445,-1.0,5.17597999999999824893848199280910193920135498046875,1.037871089146403522364709125,0.00826,1.0,4.66570000000000195683469428331591188907623291015625,1.151381357566924069968102416,51.6399351667,3.0,53.744126205,3.0,5.2722050485,5.5202949515,4.5974501378,0.4022531764,USDT,0.9644524236983841314540927864,1.421164021164021207409404618,1.473544973544973696335100639,0.8102454329,0.8442262344,"09/30/2020, 23:59:59",42970.572
